Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
164,5.23,2.702706254,6.512694318,11.1,Iris-setosa
165,5.163636364,2.698736833,6.275898954,8.1,Iris-setosa
166,5.097272727,2.694767412,1.258345159,3.845723271,Iris-setosa
167,5.030909091,2.690797991,6.618270482,9.1,Iris-setosa
168,4.964545455,2.68682857,4.497834263,9.318721348,Iris-setosa
169,4.898181818,2.682859149,6.065149765,9.1,Iris-setosa
170,4.831818182,2.678889728,9.356162525,6.124523087,Iris-setosa
171,4.765454545,2.674920308,4.396641761,10.1,Iris-setosa
172,4.699090909,2.670950887,7.281056682,4.643393481,Iris-setosa
173,4.632727273,2.666981466,4.867205576,10.1,Iris-setosa
174,4.566363636,2.663012045,7.360457811,7.476731698,Iris-setosa
175,4.5,2.659042624,8.239307111,11.1,Iris-setosa
176,4.433636364,2.655073203,6.098572459,8.1,Iris-setosa
177,4.367272727,2.651103782,5.683793661,5.994748893,Iris-setosa
178,7.587938352,2.647134362,2.478500601,9.1,Iris-setosa
179,2.486582303,2.643164941,1.804928371,5.499237814,Iris-setosa
180,9.133910597,2.63919552,5.907450509,9.1,Iris-setosa
181,1.520759096,2.635226099,2.879518654,1.37803837,Iris-setosa
182,6.785444686,2.631256678,5.626800479,10.1,Iris-setosa
183,5.477414794,2.627287257,4.60832473,1.334497469,Iris-setosa
184,2.638328727,2.623317836,6.303376515,10.1,Iris-setosa
185,6.699218566,2.619348415,1.676984689,5.274822392,Iris-setosa
186,1.564502252,2.615378995,8.978634831,11.1,Iris-setosa
187,3.124893542,2.611409574,6.244570861,9.50671767,Iris-setosa
188,5.00317933,2.607440153,4.671218571,11.1,Iris-setosa
189,7.448969987,2.603470732,4.997165964,6.055375735,Iris-setosa
190,1.82516725,2.599501311,1.394820354,5.1,Iris-setosa
191,3.736122517,2.59553189,6.799955979,2.1,Iris-setosa
192,6.030073017,2.591562469,7.881256863,2.8724583,Iris-setosa
193,2.8364773,2.587593049,1.257332108,8.1,Iris-setosa
194,7.467364029,2.583623628,6.281864273,3.10912418,Iris-setosa
195,9.095919134,2.579654207,7.713433653,9.1,Iris-setosa
196,3.507876083,2.575684786,2.026061951,1.802732075,Iris-setosa
197,4.830742807,2.571715365,1.208455314,9.1,Iris-setosa
198,9.04413623,2.567745944,4.381623433,5.546853418,Iris-setosa
199,3.018335898,2.563776523,3.237976862,10.1,Iris-setosa
200,5.101633303,2.559807103,8.396606983,8.972494171,Iris-setosa
201,1.935139423,2.555837682,4.792795285,10.1,Iris-setosa
202,8.379021333,2.551868261,2.189489934,1.702400346,Iris-setosa
203,7.907461034,2.54789884,9.795612261,9.110163457,Iris-setosa
204,9.915893394,2.543929419,1.429482883,1.35917683,Iris-versicolor
205,6.098723388,2.539959998,8.220622617,9.600807903,Iris-versicolor
206,8.844761335,2.535990577,4.909047829,2.140596896,Iris-versicolor
207,3.231382303,2.532021156,3.065089197,5.059472173,Iris-versicolor
208,8.242846097,2.528051736,3.744985147,6.363390168,Iris-versicolor
209,3.027516802,2.524082315,4.734108337,9.389604583,Iris-versicolor
210,8.088967004,2.520112894,8.109306109,3.743340877,Iris-versicolor
211,7.274373904,2.516143473,3.736725177,3.016210305,Iris-versicolor
212,8.714942334,2.512174052,5.004696607,1.173526187,Iris-versicolor
213,8.825652231,2.508204631,6.109820518,5.921813319,Iris-versicolor
214,7.232829526,2.50423521,6.713529044,6.431211478,Iris-versicolor
215,5.587026643,2.50026579,9.52656327,6.93446308,Iris-versicolor
216,6.365534612,2.496296369,2.017078949,1.215620075,Iris-versicolor
217,9.497512651,2.492326948,9.853526175,7.144724259,Iris-versicolor
218,4.399752385,2.488357527,8.538558225,3.387145078,Iris-versicolor
219,8.056901374,2.484388106,9.921749267,2.930873996,Iris-versicolor
220,2.733403199,2.480418685,4.967303026,1.434585949,Iris-virginica
221,3.568581379,2.476449264,4.434210559,4.048830607,Iris-virginica
222,8.862664713,2.472479844,8.689814301,3.838035206,Iris-virginica
223,1.196682247,2.468510423,1.500390911,1.44281157,Iris-virginica
224,4.834359624,2.464541002,1.575980815,7.285979953,Iris-virginica
225,9.134439709,2.460571581,7.366628268,7.89261596,Iris-virginica
226,4.074300552,2.45660216,7.485443962,1.303593448,Iris-virginica
227,6.470363336,2.452632739,1.710715587,2.348926844,Iris-virginica
228,1.404353827,2.448663318,7.425919252,2.860154377,Iris-virginica
229,8.510881465,2.444693898,9.074540774,8.217400495,Iris-virginica
230,7.106782116,2.440724477,9.607237684,4.878997796,Iris-virginica
231,2.067530113,2.436755056,5.852923348,7.591117668,Iris-virginica
232,1.882398007,2.432785635,4.128701387,2.355063244,Iris-virginica
233,4.694467764,2.428816214,9.771436759,5.074962604,Iris-virginica
234,1.092969143,2.424846793,2.151041764,9.53650062,Iris-virginica
235,8.454991437,2.420877372,6.386349022,6.65929376,Iris-virginica
236,9.1836179,2.416907951,6.638071035,7.913925677,Iris-virginica
237,9.080359676,2.412938531,6.129838803,9.539294197,Iris-virginica
238,1.972470538,2.40896911,7.432960512,8.132767745,Iris-virginica
239,2.836783488,2.404999689,2.965771801,8.154468831,Iris-virginica
240,6.458981355,2.401030268,7.711955505,9.879185891,Iris-virginica
241,8.242960741,2.397060847,5.143137655,2.134387672,Iris-virginica
242,6.357987327,2.393091426,3.73433978,3.671804911,Iris-virginica
243,4.889891842,2.389122005,3.301890033,4.004952489,Iris-virginica
244,3.976273005,2.385152585,9.063191432,3.736121078,Iris-virginica
245,8.682504237,2.381183164,3.790518258,1.365573937,Iris-virginica
246,7.408842135,2.377213743,2.397233093,3.035342067,Iris-virginica
247,5.351634467,2.373244322,5.671620159,1.81353224,Iris-virginica
248,7.377008964,2.369274901,8.495944767,3.725256696,Iris-virginica
249,3.57014224,2.36530548,5.171085618,2.051427436,Iris-virginica
250,1.497605576,2.361336059,9.0680595,7.450232188,Iris-virginica
251,2.486795162,2.357366639,7.559544633,8.283384073,Iris-virginica
252,5.095238779,2.353397218,2.763366555,5.787223767,Iris-virginica
253,4.192291704,2.349427797,4.518982235,1.313222224,Iris-virginica
254,7.428993261,2.345458376,1.091842657,2.793069328,Iris-virginica
255,1.021388392,2.341488955,5.326568402,9.688508332,Iris-virginica
256,8.7262654,2.337519534,4.557906525,8.665228616,Iris-virginica
257,1.299040084,2.333550113,7.511641086,8.093142687,Iris-virginica
258,1.231755364,2.329580692,3.267500514,2.087430674,Iris-virginica
259,4.779739757,2.325611272,3.730878856,7.061153539,Iris-virginica
260,3.836779931,2.321641851,3.205559256,7.693001883,Iris-virginica
261,4.04418734,2.31767243,9.226906952,9.331805076,Iris-virginica
262,1.737454899,2.313703009,5.74812948,4.226762863,Iris-virginica
263,8.430609865,2.309733588,5.15948988,2.727214424,Iris-virginica
264,9.827742784,1.412047587,2.227021964,8.839921702,Iris-virginica
265,3.406849282,3.187643123,3.127065418,4.104513584,Iris-virginica
266,7.849564222,3.041264738,8.564623036,4.147711882,Iris-virginica
267,5.457109625,6.595137328,4.344238603,9.167238428,Iris-virginica
268,3.023146655,7.425439108,7.68652502,4.223524065,Iris-virginica
269,1.84217901,3.614473103,3.744180824,7.636170156,Iris-virginica
270,6.701105793,8.549838877,2.11052267,5.096247797,Iris-virginica
271,1.204410593,2.96381158,3.075231637,6.166863759,Iris-virginica
272,2.680781699,1.618800901,7.299224182,5.563435526,Iris-virginica
273,4.063487882,9.416543607,5.283350256,4.753427858,Iris-virginica
274,4.48469635,6.24201675,2.265112182,4.246181195,Iris-virginica
275,8.586829409,3.939612591,3.933161223,4.091489378,Iris-virginica
276,1.801489558,7.71822731,1.11965465,6.837400101,Iris-virginica
277,4.016284278,4.323494543,8.11453378,3.806331425,Iris-virginica
278,9.749860023,4.605832848,7.875579725,2.152074785,Iris-virginica
279,7.266095182,7.768431827,9.797642047,6.386866807,Iris-virginica
280,2.434186037,4.892028637,6.180347941,9.583818242,Iris-virginica
281,6.367151988,5.91148025,5.582168652,2.19198807,Iris-virginica
282,9.235006094,6.606475352,4.756694992,1.994202848,Iris-virginica
283,5.545513199,9.699177983,9.182259304,8.546589378,Iris-virginica
284,3.8438456,8.894241618,9.61430288,2.031153978,Iris-virginica
285,5.524397639,3.363966096,4.587205036,5.976727408,Iris-virginica
286,4.331014697,8.546383358,3.423847927,6.066927435,Iris-virginica
287,8.797850116,6.825053322,4.93084741,3.938645356,Iris-virginica
288,9.348911932,6.424606143,1.990562759,6.140651848,Iris-virginica
289,9.054256323,9.749989149,8.843078727,9.614952843,Iris-virginica
290,3.461465461,5.707753181,1.756788537,7.366790426,Iris-virginica
291,4.399785984,8.637371962,3.584444274,8.818323417,Iris-virginica
292,8.067150336,1.759968442,5.973912861,8.477383529,Iris-virginica
293,6.075316689,1.262893561,3.360269866,4.690731628,Iris-virginica
294,9.322416044,8.27516761,3.778591407,9.315540649,Iris-virginica
295,9.98583973,5.89423936,6.952055832,8.811351864,Iris-virginica
296,2.159112565,5.436902394,3.537616997,8.453935307,Iris-virginica
297,9.314866833,9.174851812,2.398062297,9.737582178,Iris-virginica
298,8.65705373,8.527120425,6.465144563,6.009079018,Iris-virginica
299,7.451338873,1.743977592,9.80874512,6.152920278,Iris-virginica
300,8.010588104,4.677599194,2.966742855,2.759274866,Iris-virginica
301,5.464091308,2.150656121,6.885691905,3.87287485,Iris-virginica
302,2.515222753,9.762378457,9.374955453,4.721004996,Iris-virginica
303,6.897723177,2.953570715,1.105881136,6.117525571,Iris-virginica
304,9.69166511,4.65199595,7.415151659,9.654674295,Iris-virginica
305,9.976506691,7.469780133,9.148294722,2.746109706,Iris-virginica
306,7.391645137,9.692334217,5.160268958,4.737122133,Iris-virginica
307,3.297150111,3.288178708,4.903725193,7.85852605,Iris-virginica
308,9.902935957,7.046993845,4.265810325,1.666250914,Iris-virginica
309,5.642589107,2.601392872,9.386212458,3.306047835,Iris-virginica
310,8.555415747,7.51128503,5.041831608,4.224450676,Iris-virginica
311,7.500738418,3.080166178,5.061342388,2.92384428,Iris-virginica
312,4.82786407,3.87434272,2.019162311,9.871011375,Iris-virginica
313,4.840390333,1.797588627,5.076458779,3.331277062,Iris-virginica
314,8.479640606,6.779338117,8.970284342,5.106259355,Iris-virginica
315,7.939593437,8.567099904,4.550544114,6.753811905,Iris-virginica
316,3.837938834,6.785361987,3.610546248,7.217061954,Iris-virginica
317,1.882893415,6.369127213,5.241734491,9.136177725,Iris-virginica
318,5.181793,1.627109143,4.541431161,1.965615255,Iris-virginica
319,3.59461784,3.295398055,5.931994295,6.410850953,Iris-virginica
320,9.243964315,3.732677988,5.033850474,4.628598913,Iris-virginica
321,8.568452944,8.183915147,6.79347129,9.082353211,Iris-virginica
322,9.591929065,7.092568843,2.015171652,4.761009283,Iris-virginica
323,1.866482518,6.267978716,5.992858622,1.457176056,Iris-virginica
324,4.52079402,9.755633271,8.499926265,8.202661925,Iris-virginica
325,9.049356236,9.68726543,9.194588537,4.64798277,Iris-virginica
326,1.735946265,6.567803855,1.112471482,5.686972219,Iris-virginica
327,3.223397817,1.095677614,3.685106596,4.39987769,Iris-virginica
328,7.113440118,4.57905646,7.015585953,4.596040139,Iris-virginica
329,1.396912915,6.121560309,8.873625103,8.653261842,Iris-virginica
330,7.037971528,6.354136721,1.001970285,3.592089501,Iris-virginica
331,1.142083848,4.325316216,7.064146569,5.135919027,Iris-virginica
332,7.711867757,6.65439402,4.578658147,1.71942065,Iris-virginica
333,2.648834813,4.000684486,7.585046141,6.053998764,Iris-virginica
334,7.380616181,1.700529796,5.578147132,7.014571157,Iris-virginica
335,4.276646104,6.236557795,8.992935185,3.545054922,Iris-virginica
336,4.797818927,5.823673049,7.662607453,6.688171764,Iris-virginica
337,2.506945443,2.723715433,6.736864324,6.838896231,Iris-virginica
338,4.950749261,2.95341258,8.411314056,3.363817096,Iris-virginica
339,1.070397484,4.165029314,5.69244651,3.119021455,Iris-virginica
340,8.744573359,7.450404326,3.052162258,5.225693031,Iris-virginica
341,4.914021956,9.572393874,9.140318998,9.517351022,Iris-virginica
342,9.62831913,9.62666702,1.66187566,8.44321306,Iris-virginica
343,2.837576719,2.296795727,1.572693617,6.279705707,Iris-virginica
344,2.373637872,8.620140604,5.374366302,7.840558927,Iris-virginica
345,6.740542103,1.23087329,4.389341192,5.314335065,Iris-virginica
346,4.162682848,4.42424911,1.344296577,2.690247329,Iris-virginica
347,7.058512751,6.267583438,4.249787712,1.795451853,Iris-virginica
348,7.98917375,9.034795227,6.835871082,6.54828985,Iris-virginica
349,6.98757746,6.875268061,2.014937067,2.279581722,Iris-virginica
350,3.515013145,5.329515997,4.436563199,8.138276918,Iris-virginica
351,8.587137601,6.473314259,4.283551359,6.025958868,Iris-virginica
352,6.870373549,8.42945113,8.860089965,3.265255367,Iris-virginica
353,9.396551008,5.474684359,5.639749586,2.768845951,Iris-virginica
354,2.206042741,3.417463799,2.297521575,6.305863077,Iris-virginica
355,4.396610351,8.304326815,5.941803799,5.873193588,Iris-virginica
356,5.547684616,7.347601216,8.564210443,7.723384533,Iris-virginica
357,3.668089319,9.122670604,8.057460177,3.422399478,Iris-virginica
358,8.549043999,1.113033835,9.598334746,9.857859212,Iris-virginica
359,8.315594732,6.550852323,7.383759538,2.570252055,Iris-virginica
360,8.078877008,2.234554225,5.513668881,9.899839953,Iris-virginica
361,9.379283226,6.580478385,1.257297043,8.786008256,Iris-virginica
362,6.763559203,3.774757535,7.934152126,6.261803319,Iris-virginica
363,6.90263503,8.577582283,6.458126359,7.460241997,Iris-virginica
364,6.721819405,5.030154051,6.735025292,4.736005073,Iris-virginica
365,5.47421443,5.565332501,1.859044919,4.779597283,Iris-virginica
366,1.87536371,8.004740094,7.551883991,7.139776466,Iris-virginica
367,1.384422764,8.238686327,7.637376412,2.431558544,Iris-virginica
368,8.930352681,8.975436021,3.882264226,7.493313997,Iris-virginica
369,3.85528761,7.1495991,5.288447546,1.913160944,Iris-virginica
370,7.105363678,9.043077537,6.064708502,4.646070596,Iris-virginica
371,5.285985683,3.754082228,3.666041533,5.547667694,Iris-virginica
372,3.736046404,8.745965567,2.225212467,4.350060869,Iris-virginica
373,4.255620395,4.717485073,9.514559239,8.392553833,Iris-virginica
374,9.617662617,8.906542484,8.260636072,3.947826994,Iris-virginica
375,5.136344493,5.377836595,3.503337649,5.684009573,Iris-virginica
376,1.318767144,2.64754554,9.124426763,1.634203457,Iris-virginica
377,5.550149207,1.969143288,1.716177664,4.167294239,Iris-virginica
378,2.444936273,4.380709402,8.750503197,5.736377048,Iris-virginica
379,1.331547014,1.270733602,5.840938637,6.991554658,Iris-virginica
380,8.07267775,5.937245052,2.781553829,1.358040287,Iris-virginica
381,9.480353772,7.083474577,1.52859983,2.961267205,Iris-virginica
382,8.204882245,9.469376704,7.987274458,5.871266068,Iris-virginica
383,5.731817216,6.072191739,2.896737619,4.288658986,Iris-virginica
384,4.647182819,6.127072542,6.889714996,7.432807985,Iris-virginica
385,5.737180324,7.696412384,6.539982222,2.816256052,Iris-virginica
386,2.722697186,3.238268519,9.426412064,3.873814241,Iris-virginica
387,2.852707354,4.376744054,6.376042892,8.753291739,Iris-virginica
388,5.636142449,1.251825533,2.701398248,8.585116054,Iris-virginica
389,3.281892192,4.974579911,1.183162831,4.446347841,Iris-virginica
390,4.79689367,1.582245882,6.289380935,1.706031701,Iris-virginica
391,2.1556199,3.648488065,1.493100215,1.741251482,Iris-virginica
392,8.446380375,2.571176142,7.810182166,3.715371345,Iris-virginica
393,3.967042731,3.967190121,8.261258006,6.449694021,Iris-virginica
394,2.244424306,5.815410804,1.457663345,5.927887432,Iris-virginica
395,6.616794593,5.643389703,1.424163485,9.597118571,Iris-virginica
396,4.602147289,4.284546645,6.762911446,4.182867112,Iris-virginica
397,2.357545743,2.192670774,2.447030009,9.326306451,Iris-virginica
398,9.45570113,1.575183703,8.589287378,2.70104054,Iris-virginica
399,5.36456073,7.567518654,7.979751672,5.760263154,Iris-virginica
400,3.5438113,1.988310924,4.030569868,6.172508908,Iris-virginica
401,5.773052234,9.583502252,3.20278364,2.408247374,Iris-virginica
402,9.740844277,9.615698652,8.123434898,3.222594353,Iris-virginica
403,6.137347352,2.654142501,2.245810787,1.641841498,Iris-virginica
404,3.159948339,6.659516496,6.632628673,4.615567343,Iris-virginica
405,7.773670345,8.659164447,8.002844084,7.129933938,Iris-virginica
406,3.837340819,7.814546219,7.708088487,4.146220694,Iris-virginica
407,7.056424032,1.841007227,9.60470194,8.323693985,Iris-virginica
408,6.316252269,2.949362103,7.90187425,6.56193134,Iris-virginica
409,3.500209549,6.757836358,4.452835093,3.156076234,Iris-virginica
410,9.681369822,5.558147704,9.339531048,1.175575259,Iris-virginica
411,6.144772232,8.34326564,1.052594268,5.71744214,Iris-virginica
412,1.2773506,3.919894182,1.736729187,1.769873303,Iris-virginica
413,6.643301277,3.517913771,8.380624538,7.324815962,Iris-virginica
414,2.263210329,9.499602026,2.127732364,5.458861263,Iris-virginica
415,1.241556608,9.260788493,1.149884074,8.512671568,Iris-virginica
416,1.819665093,1.280849863,4.675806937,5.486388391,Iris-virginica
417,8.803207073,3.370677927,7.951682302,7.326401009,Iris-setosa
418,2.625585745,3.428652113,9.55916663,5.615051962,Iris-setosa
419,3.062249975,7.522107914,9.234725877,6.165810032,Iris-setosa
420,7.029277857,7.095819499,8.150884143,3.827846051,Iris-setosa
421,2.309835511,7.421060291,2.338898486,3.662905476,Iris-setosa
422,3.163823279,3.538262724,6.263649978,6.227716596,Iris-setosa
423,5.400132337,7.588956445,3.465599149,3.61261634,Iris-setosa
424,9.403487261,9.472386652,7.926435509,5.577007142,Iris-setosa
425,3.325007404,7.825169804,5.84306721,7.782673812,Iris-setosa
426,9.873285551,2.875214368,4.175768533,4.463490194,Iris-setosa
427,7.168701049,7.375652668,6.053602845,4.76833582,Iris-setosa
428,6.638238491,9.456370219,9.876579122,3.372160595,Iris-setosa
429,7.281159497,7.91697396,6.611907841,8.882993141,Iris-setosa
430,8.589262269,5.059757891,2.391027399,6.16323951,Iris-setosa
431,4.299089134,3.057073059,9.352356618,7.936174804,Iris-setosa
432,7.125374902,2.362871615,2.360572267,3.631468197,Iris-setosa
433,1.490798624,1.310758755,1.080859611,5.23013124,Iris-setosa
434,3.762455272,3.880650457,4.01293723,1.303963421,Iris-setosa
435,2.303318668,1.532054703,1.86283027,1.3818786,Iris-setosa
436,5.725801666,5.062805901,2.418873617,7.603316941,Iris-setosa
437,9.341232177,6.949138907,6.567619267,2.89264968,Iris-setosa
438,5.563837756,4.230382015,5.625984065,5.618923129,Iris-setosa
439,1.167258406,2.481733651,4.543714489,4.090132803,Iris-setosa
440,7.852643025,7.180428185,6.59858717,4.880024764,Iris-setosa
441,4.787933992,8.851873891,4.419755808,3.138291642,Iris-setosa
442,1.081350102,3.536742273,2.473174666,1.338608086,Iris-setosa
443,6.611154833,4.818047545,8.478558322,2.105523038,Iris-setosa
444,7.711345021,6.284085031,8.257244173,2.425156677,Iris-setosa
445,3.920549327,8.308637286,1.686352156,5.522316985,Iris-setosa
446,2.516831944,8.326017911,2.551955272,7.959058696,Iris-setosa
447,2.874352996,3.629340108,6.597965343,7.506998553,Iris-setosa
448,6.797043739,4.542496379,7.408829046,9.072519245,Iris-setosa
